DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2017,32760,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2018,31674,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2019,30288,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2020,23540,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PL,2021,22816,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2013,30339,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2014,30604,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2015,31953,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2016,32299,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2017,34416,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2018,35816,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2019,37251,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2020,27725,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,PT,2021,30691,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2013,24827,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2014,25355,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2015,28944,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2016,30751,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2017,31106,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2018,30202,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2019,31146,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2020,22806,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,RO,2021,26805,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2013,14942,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2014,13091,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2015,14703,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2016,14086,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2017,14951,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2018,14233,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2019,13684,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2020,12243,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SE,2021,0,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SI,2013,6568,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SI,2014,6263,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SI,2015,6578,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SI,2016,6494,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SI,2017,6185,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SI,2018,6013,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SI,2019,6023,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,SI,2020,4776,
